STATION,PARM,RESULT,YEAR
17002601002,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601101,ASUT,12.0000,2003
17002601101,ASUT,20.0000,2003
17002601101,ASUT,41.0000,2003
17002601202,ASUT,0.5000,2003
17002601202,ASUT,0.5000,2003
17002601202,ASUT,1.0000,2003
17002601302,ASUT,13.0000,2003
17002601302,ASUT,37.0000,2003
17002601302,ASUT,61.0000,2003
17002601902,ASUT,0.5000,2003
17002601902,ASUT,0.5000,2003
17002601902,ASUT,0.5000,2003
17002602302,ASUT,9.0000,2003
17002602302,ASUT,18.0000,2003
17002602302,ASUT,21.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,1.0000,2003
06001700702,ASUT,0.5000,2003
06001700902,ASUT,0.5000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,1.5000,2003
06001700902,ASUT,1.0000,2003
06001700902,ASUT,1.0000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008301902,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,0.5000,2003
06008501402,ASUT,1.0000,2003
06008501402,ASUT,0.5000,2003
17002600102,ASUT,5.0000,2003
17002600102,ASUT,4.5000,2003
17002600102,ASUT,7.5000,2003
17002600102,ASUT,6.0000,2003
17002600202,ASUT,5.5000,2003
17002600202,ASUT,5.0000,2003
17002600202,ASUT,7.5000,2003
17002600202,ASUT,6.0000,2003
17002600302,ASUT,8.5000,2003
17002600302,ASUT,9.5000,2003
17002600302,ASUT,7.0000,2003
17002600402,ASUT,8.0000,2003
17002600402,ASUT,14.0000,2003
17002600402,ASUT,11.0000,2003
17002600402,ASUT,7.0000,2003
17002600602,ASUT,5.5000,2003
17002600602,ASUT,3.0000,2003
17002600602,ASUT,11.0000,2003
17002600602,ASUT,10.0000,2003
17002600702,ASUT,1.0000,2003
17002600702,ASUT,1.0000,2003
17002600702,ASUT,2.0000,2003
17002600702,ASUT,0.5000,2003
17002600902,ASUT,0.5000,2003
17002600902,ASUT,0.5000,2003
17002600902,ASUT,1.0000,2003
17002600902,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601002,ASUT,0.5000,2003
17002601002,ASUT,1.5000,2003
17002601002,ASUT,0.5000,2003
17002601101,ASUT,47.0000,2003
17002601101,ASUT,54.0000,2003
17002601101,ASUT,27.0000,2003
17002601101,ASUT,23.0000,2003
17002601202,ASUT,1.0000,2003
17002601202,ASUT,1.5000,2003
17002601202,ASUT,1.5000,2003
17002601202,ASUT,0.5000,2003
17002601302,ASUT,81.0000,2003
17002601302,ASUT,170.0000,2003
17002601302,ASUT,25.0000,2003
17002601302,ASUT,19.0000,2003
17002601902,ASUT,1.5000,2003
17002601902,ASUT,1.0000,2003
17002601902,ASUT,1.0000,2003
17002601902,ASUT,0.5000,2003
17002602302,ASUT,27.0000,2003
17002602302,ASUT,31.0000,2003
17002602302,ASUT,36.0000,2003
17002602302,ASUT,31.0000,2003
06001700702,ASUT,0.5000,2004
06001700702,ASUT,0.5000,2004
06001700702,ASUT,0.5000,2004
06001700702,ASUT,1.0000,2004
06001700902,ASUT,1.0000,2004
06001700902,ASUT,0.5000,2004
06001700902,ASUT,0.5000,2004
06001700902,ASUT,1.0000,2004
06008301902,ASUT,0.5000,2004
06008301902,ASUT,0.5000,2004
06008301902,ASUT,0.5000,2004
06008501402,ASUT,1.0000,2004
06008501402,ASUT,0.5000,2004
06008501402,ASUT,0.5000,2004
17002600102,ASUT,2.0000,2004
17002600102,ASUT,2.0000,2004
17002600102,ASUT,3.0000,2004
17002600202,ASUT,2.0000,2004
17002600202,ASUT,2.5000,2004
17002600202,ASUT,3.0000,2004
17002600302,ASUT,2.5000,2004
17002600302,ASUT,2.5000,2004
17002600302,ASUT,3.5000,2004
17002600402,ASUT,3.0000,2004
17002600402,ASUT,2.0000,2004
17002600402,ASUT,3.5000,2004
17002600602,ASUT,3.0000,2004
17002600602,ASUT,3.0000,2004
17002600602,ASUT,4.5000,2004
17002600702,ASUT,0.5000,2004
17002600702,ASUT,0.5000,2004
17002600702,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601101,ASUT,7.0000,2004
17002601101,ASUT,10.0000,2004
17002601101,ASUT,17.0000,2004
17002601202,ASUT,0.5000,2004
17002601202,ASUT,0.5000,2004
17002601202,ASUT,0.5000,2004
17002601302,ASUT,8.0000,2004
17002601302,ASUT,12.0000,2004
17002601302,ASUT,19.0000,2004
17002601902,ASUT,0.5000,2004
17002601902,ASUT,0.5000,2004
17002601902,ASUT,0.5000,2004
17002602302,ASUT,8.0000,2004
17002602302,ASUT,8.0000,2004
17002602302,ASUT,12.0000,2004
06001700702,ASUT,1.0000,2004
06001700702,ASUT,0.5000,2004
06001700702,ASUT,0.5000,2004
06001700902,ASUT,0.5000,2004
06001700902,ASUT,0.5000,2004
06001700902,ASUT,1.0000,2004
17002600102,ASUT,4.0000,2004
17002600102,ASUT,3.5000,2004
17002600102,ASUT,5.0000,2004
17002600202,ASUT,4.5000,2004
17002600202,ASUT,4.5000,2004
17002600202,ASUT,6.0000,2004
17002600302,ASUT,3.5000,2004
17002600302,ASUT,5.5000,2004
17002600302,ASUT,5.5000,2004
17002600402,ASUT,4.0000,2004
17002600402,ASUT,6.0000,2004
17002600402,ASUT,5.0000,2004
17002600602,ASUT,6.0000,2004
17002600602,ASUT,8.0000,2004
17002600602,ASUT,8.0000,2004
17002600702,ASUT,1.0000,2004
17002600702,ASUT,0.5000,2004
17002600702,ASUT,0.5000,2004
17002600902,ASUT,1.0000,2004
17002600902,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002601002,ASUT,1.0000,2004
17002601002,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601101,ASUT,24.0000,2004
17002601101,ASUT,39.0000,2004
17002601101,ASUT,37.0000,2004
17002601202,ASUT,0.5000,2004
17002601202,ASUT,1.0000,2004
17002601202,ASUT,0.5000,2004
17002601302,ASUT,31.0000,2004
17002601302,ASUT,36.0000,2004
17002601302,ASUT,7.5000,2004
17002601902,ASUT,1.0000,2004
17002601902,ASUT,1.0000,2004
17002601902,ASUT,0.5000,2004
17002602302,ASUT,15.0000,2004
17002602302,ASUT,23.0000,2004
17002602302,ASUT,29.0000,2004
06001700702,ASUT,0.5000,2004
06001700702,ASUT,0.5000,2004
06001700902,ASUT,1.0000,2004
06001700902,ASUT,0.5000,2004
17002600102,ASUT,5.5000,2004
17002600102,ASUT,5.0000,2004
17002600202,ASUT,6.5000,2004
17002600202,ASUT,5.5000,2004
17002600302,ASUT,8.5000,2004
17002600302,ASUT,5.5000,2004
17002600402,ASUT,8.5000,2004
17002600402,ASUT,6.0000,2004
17002600602,ASUT,10.0000,2004
17002600602,ASUT,4.5000,2004
17002600702,ASUT,0.5000,2004
17002600702,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002600902,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601002,ASUT,0.5000,2004
17002601101,ASUT,32.0000,2004
17002601101,ASUT,18.0000,2004
17002601202,ASUT,0.5000,2004
17002601202,ASUT,0.5000,2004
17002601302,ASUT,14.0000,2004
17002601302,ASUT,10.0000,2004
17002601902,ASUT,0.5000,2004
17002601902,ASUT,1.0000,2004
17002602302,ASUT,32.0000,2004
17002602302,ASUT,31.0000,2004
06001700702,ASUT,0.5000,2005
06001700702,ASUT,0.5000,2005
06001700702,ASUT,0.5000,2005
06001700702,ASUT,0.5000,2005
06001700702,ASUT,0.5000,2005
06001700902,ASUT,1.5000,2005
06001700902,ASUT,1.5000,2005
06001700902,ASUT,1.5000,2005
06001700902,ASUT,1.0000,2005
06001700902,ASUT,1.0000,2005
17002600102,ASUT,2.0000,2005
17002600102,ASUT,3.0000,2005
17002600102,ASUT,5.0000,2005
17002600202,ASUT,2.0000,2005
17002600202,ASUT,3.0000,2005
17002600202,ASUT,5.0000,2005
17002600302,ASUT,2.5000,2005
17002600302,ASUT,2.5000,2005
17002600302,ASUT,4.5000,2005
17002600402,ASUT,2.5000,2005
17002600402,ASUT,2.5000,2005
17002600402,ASUT,4.5000,2005
17002600602,ASUT,2.5000,2005
17002600602,ASUT,3.5000,2005
17002600602,ASUT,6.0000,2005
17002600702,ASUT,0.5000,2005
17002600702,ASUT,0.5000,2005
17002600702,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002601002,ASUT,0.5000,2005
17002601002,ASUT,0.5000,2005
17002601002,ASUT,0.5000,2005
17002601101,ASUT,8.0000,2005
17002601101,ASUT,12.0000,2005
17002601101,ASUT,31.0000,2005
17002601202,ASUT,0.5000,2005
17002601202,ASUT,0.5000,2005
17002601202,ASUT,0.5000,2005
17002601302,ASUT,11.0000,2005
17002601302,ASUT,24.0000,2005
17002601302,ASUT,13.0000,2005
